,temp,APC（E2步骤）,source_RF（E2步骤）,LF_RF（E2步骤）,SF6（E2步骤）,C4F8（DEP步骤）,DEP time,etch time,,Zmin_1,Zmin_2,Zmin_3,Zmin_4,Zmin_5,Zmin_6,Zmin_7,Zmin_8,Zmin_9,Zmin_9_2,F_Flux_1,F_Flux_2,F_Flux_3,F_Flux_4,F_Flux_5,F_Flux_6,F_Flux_7,F_Flux_8,F_Flux_9,F_Flux_9_2,Ion_Flux_1,Ion_Flux_2,Ion_Flux_3,Ion_Flux_4,Ion_Flux_5,Ion_Flux_6,Ion_Flux_7,Ion_Flux_8,Ion_Flux_9,Ion_Flux_9_2,h0_1,h0_2,h0_3,h0_4,h0_5,h0_6,h0_7,h0_8,h0_9,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,d0_1,d0_2,d0_3,d0_4,d0_5,d0_6,d0_7,d0_8,d0_9,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,w1,w2,w3,w4,w5,w6,w7,w8,w9
cas11,-20,60,2500,25,300,350,2.2,1.8,case11,-0.332441376,-0.642463799,-0.933663191,-1.213637552,-1.484319184,-1.739902526,-1.983175762,-2.217078481,-2.443296211,-2.450769194,0.10545448,0.093980466,0.086015839,0.082712598,0.077437003,0.074012145,0.072199917,0.070260675,0.069168028,0.067197536,0.006634609,0.006576504,0.006548813,0.006155457,0.005828213,0.005543097,0.005161154,0.004777449,0.004605735,0.004577825,-0.312807015,0.297208658,0.291242974,0.259265329,0.260580472,0.244558351,0.245023251,0.228622266,0.311460878,-0.310809676,0.300742418,0.285905021,0.273635668,0.261651567,0.245836122,0.238650509,0.232590539,0.300947674,0.166995768,0.1442131,0.129382167,0.117150857,0.096314558,0.090645181,0.082506279,0.079461208,0.06516904,0.168852685,0.143977104,0.126409679,0.113346875,0.105368073,0.09493744,0.094958666,0.077571335,0.067543588,0.614304701,0.566646452,0.550352451,0.4775767,0.520069532,0.511326084,0.516028046,0.510928539,0.505585735
cas12,-20,65,2500,25,300,350,2.2,1.8,case12,-0.350267125,-0.670363767,-0.971513048,-1.264913644,-1.543815149,-1.811728882,-2.061193287,-2.306137056,-2.542976065,-2.550306152,0.111713876,0.099299703,0.091404543,0.08734378,0.083427165,0.077768016,0.076383907,0.073356505,0.071129534,0.069863794,0.006181176,0.006376732,0.00603875,0.005842779,0.005442765,0.005192316,0.004852802,0.004454295,0.004172319,0.004191337,-0.327929739,0.309302436,0.297033063,0.282400795,0.270577192,0.259654284,0.24196354,0.241685935,0.319759167,-0.328785735,0.31072912,0.299030406,0.283907686,0.275347625,0.252546787,0.242537464,0.245005659,0.31241567,0.178637561,0.157355763,0.135365919,0.121373914,0.110481281,0.097923969,0.087499884,0.084740419,0.069826468,0.17913137,0.152181555,0.13645851,0.118280953,0.110245511,0.102820832,0.096882115,0.076684376,0.06863773,0.635411177,0.587179566,0.571062494,0.554589961,0.539390434,0.52878932,0.529166224,0.524157997,0.510204298
cas13,-20,70,2500,25,300,350,2.2,1.8,case13,-0.36482916,-0.699443658,-1.017705577,-1.32058655,-1.611854447,-1.888736776,-2.152563138,-2.4040468,-2.651418814,-2.659352533,0.118238674,0.102439777,0.097334336,0.090781817,0.086462079,0.083134709,0.079675742,0.0776687,0.075391828,0.074053696,0.006056219,0.005902166,0.005740364,0.00560667,0.00511563,0.004852285,0.004599437,0.00430039,0.003991613,0.004016243,-0.341567252,0.32287154,0.311770618,0.286498334,0.293301054,0.276670592,0.256334049,0.243104833,0.32723426,-0.347569236,0.285097569,0.34810793,0.291594429,0.285922306,0.267072967,0.261423571,0.248754263,0.323810262,0.186816459,0.164441316,0.140185224,0.120553758,0.10522826,0.102533367,0.101861026,0.093601332,0.076012535,0.190953369,0.163781536,0.118681083,0.118794026,0.115748038,0.106082006,0.099186417,0.088745809,0.084520758,0.658668018,0.609121042,0.58582509,0.560799572,0.560820601,0.548820812,0.552406057,0.54421853,0.535089659
cas14,-20,75,2500,25,300,350,2.2,1.8,case14,-0.379341677,-0.725801755,-1.052671866,-1.369551374,-1.667293498,-1.950497431,-2.217372964,-2.480002761,-2.734382809,-2.742648881,0.125655149,0.107376566,0.101408793,0.094244416,0.089518839,0.086327551,0.082361735,0.081517739,0.077528798,0.077338415,0.005872081,0.005893639,0.005595591,0.005362318,0.005025767,0.004690029,0.004407563,0.004050809,0.003820761,0.003751769,-0.359887187,0.338977196,0.322998498,0.310729112,0.287617053,0.273350324,0.262222307,0.24110743,0.345759773,-0.358745843,0.337271405,0.316793271,0.311792135,0.291611723,0.271638291,0.262792996,0.249691929,0.342311287,0.199518,0.172240955,0.15502435,0.132813392,0.130561874,0.113735178,0.109188818,0.089763916,0.081165217,0.196372356,0.170242027,0.151714416,0.127697589,0.123200403,0.108860434,0.106747063,0.088710921,0.074414856,0.677574587,0.624167213,0.609731274,0.580165646,0.579018277,0.561700107,0.569972204,0.547372261,0.546813409
cas15,-20,80,2500,25,300,350,2.2,1.8,case15,-0.393800223,-0.756520484,-1.093707204,-1.416640091,-1.723136353,-2.015386215,-2.292044486,-2.559193032,-2.822245751,-2.830625925,0.12970642,0.111993569,0.104452139,0.098111361,0.093392352,0.089162449,0.086892107,0.083472291,0.082607927,0.080295022,0.005735205,0.005671635,0.005459853,0.005272023,0.004924143,0.004468573,0.004334928,0.003881833,0.003675203,0.003817187,-0.373757788,0.350216023,0.335511778,0.316762567,0.296355997,0.280852744,0.273920042,0.262531212,0.340717775,-0.374648184,0.280845382,0.406316144,0.305878418,0.308161122,0.264457907,0.289090787,0.262222222,0.339005759,0.207683335,0.179361806,0.161477491,0.144420043,0.120250945,0.114607489,0.109741947,0.096745821,0.0836051,0.205570311,0.178127799,0.110530284,0.140217703,0.118595542,0.122878012,0.097889927,0.100535134,0.089744684,0.701467898,0.645703857,0.621999601,0.602373944,0.578875962,0.575613392,0.576562713,0.573337862,0.562769737
cas16,-20,85,2500,25,300,350,2.2,1.8,case16,-0.407804773,-0.781601369,-1.127993375,-1.461256431,-1.776530917,-2.0763348,-2.362198208,-2.642441793,-2.907825581,-2.916514344,0.13588077,0.115850998,0.111579992,0.102847128,0.097443761,0.09174949,0.089287724,0.088190914,0.084392925,0.082806592,0.005666622,0.00555971,0.005488154,0.005209126,0.004818009,0.004358708,0.004098782,0.003763573,0.003725119,0.003606538,-0.387279276,0.356953285,0.354099963,0.315009117,0.308161088,0.29383329,0.293942503,0.25891505,0.348320772,-0.388420616,0.363230637,0.338691899,0.328009708,0.309997916,0.280769008,0.288411549,0.276181664,0.342801348,0.218278746,0.185413079,0.162403525,0.144425243,0.126436504,0.123644419,0.11794691,0.115700694,0.093631945,0.220929732,0.189312618,0.1719648,0.144508793,0.129149739,0.123932531,0.107440935,0.095588408,0.09617196,0.724144686,0.659661905,0.639272845,0.611066986,0.601999108,0.598511751,0.592242435,0.588416182,0.574914116
cas17,-20,90,2500,25,300,350,2.2,1.8,case17,-0.42098588,-0.80493031,-1.16143714,-1.510893157,-1.836115824,-2.151699176,-2.442089033,-2.725220552,-3.000638672,-3.00970889,0.140841048,0.121973768,0.113072633,0.106591109,0.10157409,0.09498035,0.094155977,0.090696677,0.087900418,0.087020089,0.005632091,0.005431561,0.005144051,0.005142137,0.004720701,0.004300643,0.004114043,0.003663913,0.003505201,0.003455032,-0.402116665,0.373959209,0.353928736,0.335964033,0.31458589,0.309600183,0.283051695,0.280852011,0.355650467,-0.398692655,0.372361332,0.359390523,0.335398623,0.319574492,0.297785861,0.299133675,0.26680868,0.360563048,0.231513848,0.199889601,0.177795966,0.150089065,0.140380529,0.126905439,0.123387616,0.097650949,0.096301562,0.228043439,0.193902806,0.169931264,0.151398734,0.135862676,0.127370249,0.11101562,0.113091899,0.086656568,0.743812245,0.678047365,0.655698291,0.63092531,0.627667446,0.6207687,0.604706917,0.604935591,0.591500213
cas18,-20,95,2500,25,300,350,2.2,1.8,case18,-0.435180563,-0.82998694,-1.198520512,-1.550682677,-1.88443579,-2.207915044,-2.507885694,-2.79607772,-3.077027838,-3.086347206,0.147945348,0.127558747,0.119203052,0.110548477,0.105905661,0.102111799,0.097662974,0.094340078,0.092198721,0.090937179,0.005501394,0.005541974,0.005095905,0.004961067,0.004709255,0.004329662,0.003879841,0.003610669,0.003271057,0.003375502,-0.411532704,0.38776938,0.368081348,0.34525454,0.330702543,0.298174398,0.297692912,0.28550475,0.36163463,-0.415242042,0.387858169,0.361429879,0.341851303,0.330762761,0.311218756,0.294358798,0.283939804,0.359685695,0.235343284,0.203598165,0.182704355,0.154079634,0.141441525,0.133946627,0.118167878,0.113784456,0.095389207,0.236192781,0.207831247,0.181503125,0.162639178,0.149372986,0.130695853,0.119189893,0.107689532,0.107510447,0.763176396,0.703069744,0.676720125,0.65895236,0.644506927,0.630168331,0.617046342,0.618131896,0.610181615
cas19,-20,100,2500,25,300,350,2.2,1.8,case19,-0.447362133,-0.858598634,-1.239819829,-1.607994769,-1.952172089,-2.279622393,-2.589230886,-2.891681926,-3.184665774,-3.194132081,0.151664049,0.129123334,0.122438136,0.117128439,0.110188894,0.105022683,0.100592687,0.09820977,0.09485313,0.093381252,0.005383951,0.005352062,0.005137669,0.004816272,0.004458787,0.003895348,0.003619121,0.003527919,0.003269991,0.00319207,-0.424658081,0.401180101,0.377667214,0.357584187,0.343027115,0.319561311,0.313280821,0.27566249,0.38151076,-0.430079435,0.355526601,0.419726857,0.358665279,0.317291805,0.336694564,0.300683805,0.297377007,0.378086729,0.245688187,0.213645068,0.188352482,0.164557828,0.150782136,0.142615457,0.129495027,0.126289286,0.106820579,0.248674098,0.216425695,0.166982137,0.170394881,0.145118571,0.117481194,0.128367728,0.113323296,0.103798615,0.785928742,0.721637219,0.698001361,0.668395323,0.650999028,0.64291173,0.641467448,0.642367909,0.634917582
cas20,-20,25,500,25,300,350,2.2,1.8,case20,-0.188011988,-0.364840581,-0.536874371,-0.702313655,-0.864672192,-1.020233614,-1.177795265,-1.328834052,-1.473522957,-1.477416117,0.047283993,0.043288403,0.041454181,0.039048373,0.038112354,0.036417708,0.03469668,0.033981948,0.03292521,0.032666115,0.001538976,0.001528723,0.001553711,0.001521222,0.001507838,0.001487497,0.001472715,0.001482702,0.001465122,0.001458637,-0.168142489,0.166064603,0.167205921,0.162069908,0.149515212,0.150085883,0.145520517,0.141525814,0.22728577,-0.160153125,0.172917541,0.163491662,0.158360566,0.154365906,0.152103594,0.13579882,0.146376491,0.233848412,0.076182724,0.064816963,0.056690169,0.047970599,0.043808711,0.038011022,0.045102246,0.036091101,0.026871869,0.071742139,0.057302571,0.05512907,0.048098348,0.044671202,0.0367342,0.034374124,0.028786469,0.027841153,0.416316834,0.390511506,0.386731592,0.378744216,0.373570816,0.36518961,0.374509054,0.368759424,0.36187567
cas21,-20,25,600,25,300,350,2.2,1.8,case21,-0.193196022,-0.372478335,-0.551375094,-0.720758177,-0.888222213,-1.053569032,-1.210077988,-1.361104037,-1.510806094,-1.514822884,0.047727653,0.044856791,0.041664335,0.040132973,0.037999784,0.036242986,0.035142358,0.033984481,0.032869428,0.032820562,0.001779142,0.001820073,0.001754384,0.001800067,0.001752707,0.001788919,0.001760572,0.001757594,0.00170846,0.001715363,-0.174855356,0.166770424,0.168917941,0.158155978,0.160277162,0.149515203,0.146608106,0.157755545,0.231967169,-0.173725113,0.171825841,0.167560782,0.159787246,0.153496742,0.149813661,0.151018688,0.14858239,0.239012421,0.080373944,0.067836379,0.058012889,0.049156965,0.042446343,0.04027236,0.035965346,0.032384327,0.023500535,0.07837259,0.063248554,0.059783398,0.047695598,0.042674283,0.036139523,0.034212202,0.034263049,0.027980479,0.42019093,0.39252933,0.38739942,0.376276664,0.374729046,0.373330414,0.3712664,0.325702891,0.36040208
cas22,-20,25,700,25,300,350,2.2,1.8,case22,-0.197624658,-0.389624721,-0.571585293,-0.740688692,-0.911835111,-1.075540871,-1.233551422,-1.388498779,-1.540873247,-1.545094359,0.049071105,0.043641749,0.041538759,0.040200516,0.038486861,0.036546879,0.035829716,0.034551823,0.032928281,0.032780189,0.002105798,0.002130483,0.002098463,0.002122504,0.002088787,0.002102777,0.002003282,0.001966657,0.001913449,0.001945699,-0.171566499,0.169203273,0.178619312,0.166920594,0.158645902,0.151227236,0.156077879,0.145119122,0.247714542,-0.169283824,0.174053963,0.169488605,0.166635275,0.161499228,0.152368563,0.156574913,0.140172822,0.255017167,0.077411611,0.063538583,0.053047583,0.043291665,0.041895675,0.036230931,0.03463695,0.033568409,0.027640537,0.077485074,0.063017111,0.05579901,0.043371905,0.04212082,0.038776531,0.034151873,0.029167467,0.02529239,0.421373493,0.393032502,0.388338896,0.377737192,0.380642508,0.376604131,0.376326187,0.377096749,0.367390638
cas23,-20,25,800,25,300,350,2.2,1.8,case23,-0.20031251,-0.38570486,-0.567096734,-0.742949973,-0.91581811,-1.084419217,-1.245664894,-1.401467393,-1.555258372,-1.559655309,0.049474499,0.045013527,0.042869458,0.040219728,0.039430812,0.037506527,0.035778654,0.034820243,0.033455027,0.033595389,0.002402448,0.002434433,0.002359564,0.00236638,0.002357564,0.002324956,0.002282281,0.002248147,0.002231724,0.002229171,-0.181838538,0.172627292,0.166349935,0.173619739,0.166498797,0.151797882,0.154365914,0.148088472,0.24446874,-0.176131849,0.173768623,0.17576597,0.17091528,0.156363206,0.152368597,0.159216566,0.146091172,0.249034047,0.082083024,0.067490263,0.060655354,0.045725125,0.042233321,0.03783072,0.044157862,0.034973013,0.028515487,0.079250401,0.063273214,0.056088832,0.050089117,0.043283677,0.041679781,0.035087769,0.033947221,0.029660701,0.423910107,0.39334016,0.390621326,0.382969635,0.373372076,0.373972924,0.381478779,0.374190383,0.368126227
cas24,-20,25,900,25,300,350,2.2,1.8,case24,-0.203269999,-0.395601052,-0.577597188,-0.758139906,-0.932478208,-1.0984625,-1.264461589,-1.41891135,-1.571507884,-1.575674053,0.049972716,0.045216194,0.042776689,0.040304261,0.038254888,0.037450079,0.035574388,0.035652911,0.033667335,0.033583928,0.002678943,0.002731455,0.002703706,0.002662267,0.002655259,0.002576869,0.002583842,0.002507404,0.002440476,0.002486561,-0.181267868,0.176621971,0.174339286,0.165208587,0.163211261,0.165779284,0.155221854,0.145805887,0.248218055,-0.178414524,0.189747351,0.165370183,0.166758997,0.163781924,0.16035791,0.154936552,0.149079255,0.247227358,0.080531199,0.063426804,0.060553548,0.049137038,0.040928225,0.032495693,0.033825915,0.030487149,0.027430252,0.081364005,0.065960564,0.060639447,0.049502977,0.047464197,0.036716534,0.039225577,0.033727746,0.03214377,0.423906744,0.391398907,0.39058882,0.382007671,0.380455374,0.370543993,0.377827533,0.373796162,0.370168795
cas25,-20,25,1000,25,300,350,2.2,1.8,case25,-0.203920559,-0.398130528,-0.582677662,-0.761066045,-0.937325488,-1.11091268,-1.275187002,-1.436800398,-1.594149465,-1.598480829,0.049401615,0.045384819,0.042938322,0.041457668,0.039777612,0.038268657,0.035749794,0.035105034,0.034171551,0.033887369,0.002987536,0.002989042,0.002986068,0.003002214,0.00291271,0.002881313,0.002784581,0.002817131,0.00270346,0.002644439,-0.180697198,0.181472651,0.17376861,0.175480647,0.166779399,0.147913814,0.16635125,0.150115149,0.255902111,-0.177273186,0.182899328,0.177763296,0.16549394,0.171200608,0.158931247,0.157504542,0.154365914,0.253048768,0.081445696,0.066823579,0.058196066,0.045275027,0.036434094,0.034952407,0.041153561,0.034740807,0.027037582,0.075818067,0.065385896,0.057843426,0.051869809,0.046180963,0.037208122,0.035490119,0.033972509,0.029182465,0.425577676,0.400523388,0.393509238,0.385545139,0.37943986,0.374282645,0.383696995,0.378423958,0.367461991
cas26,-20,25,1100,25,300,350,2.2,1.8,case26,-0.206555624,-0.404222428,-0.593187957,-0.773987216,-0.953385493,-1.122896459,-1.287681789,-1.449233835,-1.60646058,-1.610851454,0.050303687,0.045570451,0.042648932,0.041523384,0.039843811,0.037738148,0.036545821,0.035546216,0.034272125,0.033771665,0.003270297,0.003336634,0.003263524,0.003278816,0.003224452,0.003171883,0.003186071,0.003009068,0.002983478,0.002968595,-0.183835875,0.186038011,0.176051297,0.172341943,0.166635249,0.164352587,0.152939251,0.157504559,0.251152681,-0.177273186,0.192886027,0.179189993,0.174624596,0.162355253,0.161784598,0.158645919,0.153224536,0.250867345,0.080971933,0.065590979,0.060008988,0.049496313,0.045958532,0.037780459,0.041624179,0.037677492,0.028302768,0.078529813,0.065673578,0.059854298,0.052006212,0.042211145,0.040875887,0.040730621,0.033775511,0.030223649,0.425994039,0.39775685,0.392212675,0.383364135,0.376957148,0.375670784,0.38460469,0.379352263,0.371021692
